frame_number,timestamp,faces_count,emotions,activities,anomaly_count,anomaly_types
310,10.333333333333334,1,happy,em_pe,1,elemento_grafico
312,10.4,1,happy,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
314,10.466666666666667,1,happy,"em_pe, gesticulando",1,elemento_grafico
316,10.533333333333333,1,neutral,"caminhando, gesticulando",1,careta_exagerada
318,10.6,1,neutral,caminhando,1,careta_exagerada
320,10.666666666666666,1,neutral,em_pe,1,elemento_grafico
322,10.733333333333333,1,neutral,em_pe,1,careta_exagerada
324,10.8,1,neutral,"em_pe, gesticulando",1,elemento_grafico
326,10.866666666666667,1,neutral,em_pe,1,elemento_grafico
328,10.933333333333334,1,neutral,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
330,11.0,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
332,11.066666666666666,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
334,11.133333333333333,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
336,11.2,1,neutral,em_pe,1,elemento_grafico
338,11.266666666666667,1,neutral,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
340,11.333333333333334,1,neutral,em_pe,1,elemento_grafico
342,11.4,1,neutral,"em_pe, gesticulando",1,elemento_grafico
344,11.466666666666667,1,neutral,"em_pe, gesticulando",1,elemento_grafico
346,11.533333333333333,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
348,11.6,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
350,11.666666666666666,1,neutral,em_pe,2,"careta_exagerada, elemento_grafico"
352,11.733333333333333,1,sad,em_pe,1,elemento_grafico
354,11.8,1,neutral,em_pe,1,elemento_grafico
356,11.866666666666667,1,neutral,em_pe,1,elemento_grafico
358,11.933333333333334,1,neutral,"em_pe, gesticulando",2,"careta_exagerada, elemento_grafico"
360,12.0,0,,,1,movimento_brusco
362,12.066666666666666,0,,,0,
364,12.133333333333333,0,,,0,
366,12.2,0,,,0,
368,12.266666666666667,0,,,0,
370,12.333333333333334,0,,,1,elemento_grafico
372,12.4,0,,,1,elemento_grafico
374,12.466666666666667,0,,,1,elemento_grafico
376,12.533333333333333,0,,,0,
378,12.6,0,,,1,elemento_grafico
380,12.666666666666666,0,,,1,elemento_grafico
382,12.733333333333333,0,,,1,elemento_grafico
384,12.8,0,,,1,elemento_grafico
386,12.866666666666667,0,,,1,elemento_grafico
388,12.933333333333334,0,,,1,elemento_grafico
390,13.0,0,,,1,elemento_grafico
392,13.066666666666666,0,,,1,elemento_grafico
394,13.133333333333333,0,,,1,elemento_grafico
396,13.2,0,,,1,elemento_grafico
398,13.266666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
400,13.333333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
402,13.4,0,,,2,"elemento_grafico, padrao_visual_anomalo"
404,13.466666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
406,13.533333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
408,13.6,0,,,2,"elemento_grafico, padrao_visual_anomalo"
410,13.666666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
412,13.733333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
414,13.8,0,,,2,"elemento_grafico, padrao_visual_anomalo"
416,13.866666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
418,13.933333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
420,14.0,0,,,2,"elemento_grafico, padrao_visual_anomalo"
422,14.066666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
424,14.133333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
426,14.2,0,,,2,"elemento_grafico, padrao_visual_anomalo"
428,14.266666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
430,14.333333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
432,14.4,0,,,2,"elemento_grafico, padrao_visual_anomalo"
434,14.466666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
436,14.533333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
438,14.6,0,,,2,"elemento_grafico, padrao_visual_anomalo"
440,14.666666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
442,14.733333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
444,14.8,0,,,2,"elemento_grafico, padrao_visual_anomalo"
446,14.866666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
448,14.933333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
450,15.0,0,,,2,"elemento_grafico, padrao_visual_anomalo"
452,15.066666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
454,15.133333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
456,15.2,0,,,2,"elemento_grafico, padrao_visual_anomalo"
458,15.266666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
460,15.333333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
462,15.4,0,,,2,"elemento_grafico, padrao_visual_anomalo"
464,15.466666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
466,15.533333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
468,15.6,0,,,2,"elemento_grafico, padrao_visual_anomalo"
470,15.666666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
472,15.733333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
474,15.8,0,,,2,"elemento_grafico, padrao_visual_anomalo"
476,15.866666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
478,15.933333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
480,16.0,0,,,2,"elemento_grafico, padrao_visual_anomalo"
482,16.066666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
484,16.133333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
486,16.2,0,,,2,"elemento_grafico, padrao_visual_anomalo"
488,16.266666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
490,16.333333333333332,0,,,2,"elemento_grafico, padrao_visual_anomalo"
492,16.4,0,,,2,"elemento_grafico, padrao_visual_anomalo"
494,16.466666666666665,0,,,2,"elemento_grafico, padrao_visual_anomalo"
496,16.533333333333335,0,,,2,"elemento_grafico, padrao_visual_anomalo"
498,16.6,0,,,2,"elemento_grafico, padrao_visual_anomalo"
500,16.666666666666668,0,,,2,"elemento_grafico, padrao_visual_anomalo"
502,16.733333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
504,16.8,0,,,2,"elemento_grafico, padrao_visual_anomalo"
506,16.866666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
508,16.933333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
510,17.0,0,,,2,"elemento_grafico, padrao_visual_anomalo"
512,17.066666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
514,17.133333333333333,0,,,2,"elemento_grafico, padrao_visual_anomalo"
516,17.2,0,,,2,"elemento_grafico, padrao_visual_anomalo"
518,17.266666666666666,0,,,2,"elemento_grafico, padrao_visual_anomalo"
520,17.333333333333332,0,,,2,"elemento_grafico, padrao_visual_anomalo"
522,17.4,0,,,2,"elemento_grafico, padrao_visual_anomalo"
524,17.466666666666665,0,,,2,"elemento_grafico, padrao_visual_anomalo"
526,17.533333333333335,0,,,2,"elemento_grafico, padrao_visual_anomalo"
528,17.6,0,,,2,"elemento_grafico, padrao_visual_anomalo"
530,17.666666666666668,0,,,2,"elemento_grafico, padrao_visual_anomalo"
532,17.733333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
534,17.8,0,,,2,"elemento_grafico, padrao_visual_anomalo"
536,17.866666666666667,0,,,2,"elemento_grafico, padrao_visual_anomalo"
538,17.933333333333334,0,,,2,"elemento_grafico, padrao_visual_anomalo"
540,18.0,0,,correndo,2,"elemento_grafico, movimento_brusco"
542,18.066666666666666,0,,caminhando,1,elemento_grafico
544,18.133333333333333,0,,"caminhando, gesticulando",1,elemento_grafico
546,18.2,0,,"caminhando, gesticulando",1,elemento_grafico
548,18.266666666666666,0,,caminhando,1,elemento_grafico
550,18.333333333333332,1,sad,"caminhando, dancando",2,"careta_exagerada, elemento_grafico"
552,18.4,0,,dancando,1,elemento_grafico
554,18.466666666666665,1,surprise,"caminhando, dancando, gesticulando",1,elemento_grafico
556,18.533333333333335,1,surprise,"caminhando, dancando, gesticulando",1,elemento_grafico
558,18.6,1,angry,"caminhando, dancando",1,elemento_grafico
560,18.666666666666668,1,happy,"caminhando, dancando",2,"careta_exagerada, elemento_grafico"
562,18.733333333333334,1,angry,caminhando,1,elemento_grafico
564,18.8,1,fear,"caminhando, gesticulando",1,elemento_grafico
566,18.866666666666667,1,fear,caminhando,1,elemento_grafico
568,18.933333333333334,1,angry,caminhando,2,"careta_exagerada, elemento_grafico"
570,19.0,1,angry,"caminhando, gesticulando",1,elemento_grafico
572,19.066666666666666,1,sad,caminhando,1,elemento_grafico
574,19.133333333333333,1,angry,"caminhando, gesticulando",2,"careta_exagerada, elemento_grafico"
576,19.2,1,neutral,caminhando,1,elemento_grafico
578,19.266666666666666,1,sad,"caminhando, gesticulando",1,elemento_grafico
580,19.333333333333332,1,happy,"caminhando, gesticulando",1,elemento_grafico
582,19.4,2,"neutral, sad",caminhando,1,elemento_grafico
584,19.466666666666665,1,neutral,caminhando,1,elemento_grafico
586,19.533333333333335,1,fear,caminhando,1,elemento_grafico
588,19.6,1,fear,caminhando,2,"careta_exagerada, elemento_grafico"
590,19.666666666666668,0,,caminhando,1,elemento_grafico
592,19.733333333333334,0,,caminhando,1,elemento_grafico
594,19.8,0,,"caminhando, gesticulando",1,elemento_grafico
596,19.866666666666667,0,,,1,elemento_grafico
598,19.933333333333334,1,sad,caminhando,1,elemento_grafico
600,20.0,1,happy,caminhando,1,elemento_grafico
602,20.066666666666666,1,neutral,caminhando,2,"careta_exagerada, elemento_grafico"
604,20.133333333333333,1,sad,caminhando,1,elemento_grafico
606,20.2,1,sad,caminhando,1,elemento_grafico
608,20.266666666666666,1,fear,caminhando,1,elemento_grafico
610,20.333333333333332,1,angry,"caminhando, gesticulando",1,elemento_grafico
612,20.4,1,happy,caminhando,2,"careta_exagerada, elemento_grafico"
614,20.466666666666665,1,neutral,caminhando,1,elemento_grafico
616,20.533333333333335,1,angry,,1,elemento_grafico
